time_s,task_id,ue_id,latency_ms,offloaded
61.7633,35,21,709.809,0
62.057,35,14,721.51,0
62.077,35,13,610.969,0
62.1684,36,21,643.818,0
62.3824,29,8,733.111,0
62.4413,36,16,689.914,0
62.4822,36,13,638.254,0
62.6906,36,24,635.858,0
62.7684,39,7,682.462,0
62.9298,37,16,636.07,0
62.9307,30,11,619.402,0
63.1614,31,6,623.648,0
63.2811,19,23,710.605,0
63.3583,33,9,704.683,0
63.3789,37,21,689.907,0
63.5228,38,21,653.187,0
63.5667,31,11,686.838,0
63.7764,37,13,709.565,0
63.8181,40,7,600.111,0
63.8462,30,8,627.898,0
63.85,32,10,647.636,0
63.858,29,20,679.99,0
64.033,40,15,658.857,0
64.0786,36,5,600.262,0
64.1968,30,20,706.673,0
64.2681,37,5,657.039,0
64.4656,32,6,709.09,0
64.4982,33,6,636.085,0
65.0775,34,19,607.995,0
65.2937,42,7,656.777,0
65.3378,41,7,723.327,0
65.3879,38,22,718.824,0
65.3948,32,11,687.61,0
65.4399,39,21,669.919,0
65.4701,24,12,657.106,0
65.556,36,14,687.777,0
65.5788,38,5,602.583,0
65.5826,40,21,656.72,0
65.7075,38,16,705.825,0
65.768,43,7,719.909,0
66.2763,34,17,662.16,0
66.668,35,19,689.686,0
66.7283,39,16,707.507,0
66.7534,38,13,699.743,0
66.7874,34,6,630.168,0
66.9568,39,13,646.324,0
67.1029,35,6,655.45,0
67.1712,39,5,677.428,0
67.4217,36,19,707.712,0
67.4455,20,23,679.171,0
67.5214,31,20,622.668,0
67.6509,39,22,636.068,0
67.6565,25,12,704.472,0
67.6743,37,24,714.455,0
67.8172,33,10,621.074,0
67.8728,32,20,628.601,0
67.9602,36,6,667.042,0
68.0788,37,19,620.051,0
68.1124,41,21,631.019,0
68.3399,41,16,638.413,0
68.3403,40,13,630.014,0
68.3759,40,16,697.132,0
68.3997,40,5,652.511,0
68.4579,44,7,638.028,0
68.5836,33,20,677.723,0
68.5917,42,21,706.742,0
68.6831,26,12,733.053,0
68.6863,40,18,660.626,0
68.6896,41,15,675.894,0
68.7892,31,8,644.022,0
68.8567,37,6,690.907,0
68.8975,33,11,703.432,0
68.9531,34,9,634.844,0
69.0259,38,6,670.731,0
69.3448,40,22,732.875,0
69.3614,45,7,704.582,0
69.4552,41,13,723.833,0
69.5117,42,15,643.39,0
69.6436,43,15,637.652,0
70.1645,38,24,619.611,0
70.1816,46,7,628.382,0
70.2945,39,6,696.683,0
70.4094,35,9,629.435,0
70.7281,41,22,637.382,0
70.8357,41,18,618.483,0
70.8528,34,20,634.97,0
71.0667,47,7,654.893,0
71.139,34,11,708.545,0
71.4555,35,11,668.62,0
71.5012,35,20,629.973,0
71.5257,32,8,640.793,0
71.5338,43,21,658.326,0
71.6093,27,12,660.542,0
71.6758,33,8,717.755,0
71.7933,44,15,683.447,0
71.7965,35,17,722.285,0
71.8768,42,16,682.628,0
71.9044,44,21,678.363,0
71.9571,36,17,730.175,0
72.0581,34,10,674.548,0
72.0775,28,12,732.507,0
72.1133,42,18,690.523,0
72.2118,35,10,609.902,0
72.2401,41,5,675.015,0
72.3057,36,20,724.053,0
72.3331,29,12,716.044,0
72.3355,37,14,724.116,0
72.3937,40,6,646.299,0
72.4728,36,9,679.537,0
72.4901,43,16,717.759,0
72.54,45,15,679.526,0
73.0594,44,16,625.436,0
73.0717,39,24,626.778,0
73.2341,45,21,667.336,0
73.3041,42,5,629.453,0
73.4808,46,15,671.627,0
73.5861,36,11,617.59,0
73.6865,42,22,699.767,0
73.7199,34,8,621.432,0
73.7476,48,7,676.264,0
73.7711,38,19,702.974,0
74.3604,49,7,711.595,0
74.4045,38,14,705.736,0
74.4221,43,18,633.294,0
74.4312,37,11,678.346,0
74.6146,37,17,666.86,0
74.621,37,9,635.296,0
74.8493,30,12,716.073,0
74.985,38,11,720.19,0
75.061,37,20,651.742,0
75.0872,47,15,674.014,0
75.1236,38,9,705.586,0
75.1991,40,11,629.093,0
75.2369,39,19,693.34,0
75.282,39,11,727.964,0
75.3224,40,19,724.876,0
75.8263,41,19,673.148,0
75.8408,38,20,682.06,0
75.8482,40,24,626.166,0
75.9578,36,10,690.391,0
75.9658,21,23,687.906,0
76.1073,41,11,630.995,0
76.2045,42,13,730.677,0
76.2966,37,10,685.216,0
76.433,39,9,689.252,0
76.6354,41,24,641.1,0
76.6693,43,5,627.252,0
76.71,43,22,601.043,0
76.746,44,5,606.016,0
76.7725,48,15,710.884,0
76.8202,22,23,617.761,0
76.9105,44,18,622.822,0
77.0074,23,23,630.456,0
77.0788,40,9,658.922,0
77.1623,41,9,679.868,0
77.2785,44,22,690.679,0
77.5157,45,16,667.644,0
77.7661,42,9,665.641,0
77.8862,42,11,632.325,0
78.1105,31,12,683.568,0
78.2173,45,18,686.883,0
78.2478,49,15,602.233,0
78.5568,45,5,622.3,0
78.6349,24,23,658.574,0
78.6455,39,20,637.569,0
78.7836,50,7,712.51,0
78.8432,39,14,604.933,0
78.9643,50,15,612.178,0
79.0708,35,8,709.033,0
79.4194,42,19,723.896,0
79.4409,43,13,673.099,0
79.4604,43,11,626.844,0
79.5654,51,15,673.776,0
79.7044,46,16,683.432,0
79.7808,46,5,646.672,0
79.8494,43,9,726.945,0
79.8981,41,6,658.496,0
79.9537,38,10,646.779,0
79.9678,44,11,629.331,0
79.9945,46,18,613.865,0
80.1203,46,21,720.998,0
80.2822,32,12,619.325,0
80.4035,44,13,710.389,0
80.414,44,19,640.92,0
80.4675,47,18,602.55,0
80.4945,36,8,717.026,0
80.495,40,20,670.846,0
80.6435,45,19,652.61,0
80.6922,51,7,679.548,0
80.7039,45,13,601.939,0
80.7554,25,23,677.236,0
80.8778,40,14,622.671,0
81.0428,37,8,642.256,0
81.1564,47,5,657.179,0
81.1851,48,18,616.031,0
81.3181,49,18,728.103,0
81.3551,52,15,703.683,0
81.3765,47,16,668.555,0
81.485,38,8,637.364,0
81.5994,44,9,653.277,0
81.7366,48,16,665.821,0
82.0406,41,14,697.124,0
82.1573,50,18,649.843,0
82.329,46,19,731.374,0
82.4627,45,22,608.733,0
82.698,47,21,719.284,0
82.6996,49,16,635.876,0
82.725,33,12,625.136,0
82.8931,42,6,705.305,0
83.0221,53,15,622.202,0
83.1288,46,22,650.185,0
83.2371,42,24,673.56,0
83.3307,52,7,608.005,0
83.331,45,11,689.977,0
83.5534,41,20,725.581,0
83.5664,43,6,670.824,0
83.6823,42,14,723.08,0
83.837,44,6,624.63,0
83.8588,48,5,623.729,0
83.8918,48,21,678.261,0
83.9133,34,12,636.772,0
84.2869,51,18,620.4,0
84.3095,45,9,606.212,0
84.6055,43,14,720.476,0
84.628,47,22,616.778,0
84.6785,35,12,710.399,0
84.7738,45,6,632.54,0
84.8228,52,18,648.449,0
84.8714,47,19,602.976,0
84.9462,48,22,722.208,0
84.9724,49,22,687.356,0
85.0121,49,21,603.968,0
85.385,46,11,671.35,0
85.3852,47,11,645.118,0
85.4089,39,10,675.22,0
85.6007,44,14,670.044,0
85.6041,54,15,706.773,0
85.8168,42,20,697.191,0
85.8276,46,13,671.936,0
85.9244,39,8,665.763,0
85.9501,38,17,718.553,0
86.1201,47,13,669.825,0
86.256,40,8,626.843,0
86.3834,50,16,689.796,0
86.4342,48,19,649.089,0
86.7289,43,24,706.959,0
86.8569,36,12,694.832,0
86.8728,40,10,616.21,0
86.9355,53,18,717.623,0
86.9406,49,19,691.034,0
87.0214,41,8,710.823,0
87.047,48,13,635.015,0
87.0578,48,11,663.955,0
87.1554,43,20,605.137,0
87.2592,55,15,633.779,0
87.3107,41,10,600.689,0
87.3142,49,13,717.95,0
87.5519,50,13,732.868,0
