t,ue,rate_bps
1.1,10,4.22597e+06
1.1,11,8.6762e+06
1.1,12,1.33668e+06
1.1,13,4.31725e+07
1.1,14,2.04788e+07
1.1,15,7.60232e+06
1.1,16,9.1915e+07
1.1,17,2.20227e+06
1.1,18,1.01144e+07
1.1,19,3.00431e+07
1.1,20,4.08582e+06
1.1,21,1.94949e+06
1.1,22,1.94036e+07
1.1,23,1.48124e+08
1.1,24,7.4885e+07
1.1,25,597643
1.1,26,347598
1.1,27,2.28612e+07
1.1,28,4.53537e+07
1.1,29,1.18308e+07
1.2,0,2.08128e+06
1.2,1,662874
1.2,2,2.53368e+07
1.2,3,2.04323e+07
1.2,4,7.86675e+07
1.2,5,1.95988e+06
1.2,6,5.65564e+06
1.2,7,4.24433e+06
1.2,8,1.67e+08
1.2,9,4.0277e+06
1.2,10,1.44102e+07
1.2,11,1.0882e+06
1.2,12,4.45389e+07
1.2,13,3.03113e+06
1.2,14,2.30046e+07
1.2,15,1.09766e+07
1.2,16,1.17001e+08
1.2,17,325989
1.2,18,2.23743e+06
1.2,19,1.20219e+06
1.2,20,3.00899e+06
1.2,21,6.34588e+07
1.2,22,4.73675e+06
1.2,23,2.77051e+06
1.2,24,4.47315e+07
1.2,25,48594.9
1.2,26,122195
1.2,27,374303
1.2,28,3.02761e+07
1.2,29,2.27423e+07
1.3,0,399127
1.3,1,58358.1
1.3,2,1.45074e+06
1.3,3,1.29279e+08
1.3,4,5.34263e+07
1.3,5,2.21781e+06
1.3,6,791843
1.3,7,5.19514e+06
1.3,8,4.20822e+07
1.3,9,849472
1.3,10,1.64913e+06
1.3,11,3.63517e+07
1.3,12,1.20348e+07
1.3,13,3.25533e+06
1.3,14,248315
1.3,15,62118.9
1.3,16,2.03014e+08
1.3,17,5.45018e+06
1.3,18,7.18716e+07
1.3,19,3.99903e+06
1.3,20,2.76911e+06
1.3,21,4.76439e+06
1.3,22,3.3561e+07
1.3,23,1.35739e+08
1.3,24,6.90928e+07
1.3,25,7.23959e+06
1.3,26,277791
1.3,27,2.1394e+07
1.3,28,8.79612e+07
1.3,29,886455
1.4,0,1.33025e+07
1.4,1,1.41831e+07
1.4,2,8.54886e+06
1.4,3,7.24164e+06
1.4,4,6.37952e+07
1.4,5,9.31286e+06
1.4,6,2.00835e+06
1.4,7,4.41848e+06
1.4,8,5.91041e+07
1.4,9,1.62012e+06
1.4,10,2.07506e+06
1.4,11,1.83105e+06
1.4,12,7.13594e+07
1.4,13,1.21172e+06
1.4,14,4.93714e+07
1.4,15,2.82101e+06
1.4,16,7.28255e+07
1.4,17,7.68004e+07
1.4,18,1.44668e+08
1.4,19,4.17863e+06
1.4,20,833324
1.4,21,3.8013e+07
1.4,22,5.39319e+06
1.4,23,1.12633e+08
1.4,24,1.67892e+08
1.4,25,1.19892e+07
1.4,26,433572
1.4,27,1.39105e+07
1.4,28,4.67462e+06
1.4,29,6.22127e+07
1.5,0,541373
1.5,1,4.58902e+06
1.5,2,305323
1.5,3,1.26264e+07
1.5,4,4.20616e+07
1.5,5,2.42118e+07
1.5,6,6.78215e+06
1.5,7,179099
1.5,8,1.06829e+08
1.5,9,471161
1.5,10,326566
1.5,11,2.95274e+06
1.5,12,1.60843e+06
1.5,13,640093
1.5,14,1.64937e+07
1.5,15,1.423e+06
1.5,16,1.01122e+08
1.5,17,577822
1.5,18,2.17148e+07
1.5,19,2.32923e+06
1.5,20,1.64536e+06
1.5,21,3.37878e+07
1.5,22,3.17402e+06
1.5,23,5.10988e+07
1.5,24,1.96331e+08
1.5,25,608953
1.5,26,2.83414e+06
1.5,27,428081
1.5,28,4.68238e+06
1.5,29,1.9829e+07
1.6,0,1.52567e+06
1.6,1,1.05629e+06
1.6,2,7.78125e+06
1.6,3,2.54205e+07
1.6,4,1.89912e+07
1.6,5,3.91389e+06
1.6,6,275993
1.6,7,4.02822e+07
1.6,8,3.56708e+06
1.6,9,96384.5
1.6,10,43084.2
1.6,11,3.683e+06
1.6,12,2.29597e+06
1.6,13,1.92812e+07
1.6,14,2.37135e+07
1.6,15,425927
1.6,16,1.47023e+08
1.6,17,1.8014e+06
1.6,18,4.96387e+07
1.6,19,5.63527e+06
1.6,20,1.71512e+07
1.6,21,3.15444e+06
1.6,22,1.70535e+06
1.6,23,1.2442e+06
1.6,24,5.83832e+07
1.6,25,329816
1.6,26,3.63771e+06
1.6,27,1.50029e+07
1.6,28,9.7305e+07
1.6,29,8.94165e+06
1.7,0,9.03654e+06
1.7,1,785471
1.7,2,2.99929e+07
1.7,3,1.4603e+06
1.7,4,7.92535e+07
1.7,5,2.54511e+07
1.7,6,508672
1.7,7,3.14893e+06
1.7,8,2.69891e+08
1.7,9,244994
1.7,10,3.79477e+06
1.7,11,2.40734e+07
1.7,12,6.54796e+07
1.7,13,1.9456e+07
1.7,14,4.30963e+06
1.7,15,4.41271e+06
1.7,16,1.53759e+08
1.7,17,52969.2
1.7,18,5.72379e+07
1.7,19,4.09331e+06
1.7,20,286276
1.7,21,3.42565e+07
1.7,22,4.50635e+06
1.7,23,1.25308e+08
1.7,24,1.67104e+08
1.7,25,2.56501e+06
1.7,26,9.90749e+06
1.7,27,4.08108e+06
1.7,28,8.01125e+07
1.7,29,1.39844e+06
1.8,0,1.9557e+06
1.8,1,2.58963e+06
1.8,2,4.15373e+06
1.8,3,2.42023e+06
1.8,4,1.14934e+07
1.8,5,3.13768e+06
1.8,6,449659
1.8,7,5.82729e+06
1.8,8,1.17032e+07
1.8,9,1.94565e+07
1.8,10,2.84334e+07
1.8,11,138740
1.8,12,1.34496e+06
1.8,13,2.61784e+07
1.8,14,1.87631e+06
1.8,15,2.23193e+07
1.8,16,8.31832e+06
1.8,17,3.31889e+06
1.8,18,3.53582e+07
1.8,19,2.72857e+07
1.8,20,3.14046e+06
1.8,21,229182
1.8,22,799254
1.8,23,4.75408e+07
1.8,24,1.72572e+07
1.8,25,3.35027e+06
1.8,26,264235
1.8,27,8.90498e+07
1.8,28,3.74585e+07
1.8,29,5.03652e+06
1.9,0,1.29893e+07
1.9,1,136028
1.9,2,825943
1.9,3,1.20348e+07
1.9,4,6.58937e+07
1.9,5,7.02074e+07
1.9,6,9.23223e+06
1.9,7,2.56075e+07
1.9,8,8.83613e+07
1.9,9,50245.4
1.9,10,172837
1.9,11,1.22748e+06
1.9,12,1.8154e+07
1.9,13,1.11503e+08
1.9,14,7.6655e+07
1.9,15,3.14811e+06
1.9,16,9.25294e+07
1.9,17,152757
1.9,18,7.14591e+07
1.9,19,1.31458e+07
1.9,20,553481
1.9,21,4.19072e+07
1.9,22,6.04866e+06
1.9,23,1.06873e+08
1.9,24,430832
1.9,25,18455
1.9,26,1.10878e+07
1.9,27,5.81574e+06
1.9,28,1.90089e+07
1.9,29,7.16007e+07
2,0,35318.5
2,1,1.54771e+07
2,2,1.51145e+07
2,3,905965
2,4,3.06413e+07
2,5,9.57248e+07
2,6,2.52925e+07
2,7,9.21934e+06
2,8,1.32747e+08
2,9,261034
2,10,1.93184e+07
2,11,4.21606e+06
2,12,7.64769e+07
2,13,704418
2,14,4.10804e+07
2,15,1.54581e+07
2,16,3.80533e+07
2,17,1.81534e+06
2,18,1.40393e+07
2,19,1.39994e+07
2,20,307713
2,21,2.57516e+06
2,22,3.08118e+07
2,23,2.62575e+07
2,24,1.61382e+08
2,25,1.0015e+07
2,26,630339
2,27,236274
2,28,2.93658e+07
2,29,6.0791e+06
2.1,0,7425.26
2.1,1,943560
2.1,2,2.08097e+06
2.1,3,1.01902e+07
