time_s,task_id,ue_id,latency_ms,offloaded
41.5733,24,18,654.659,0
41.619,27,5,637.239,0
41.7622,19,20,718.329,0
42.0125,25,18,707.582,0
42.0471,29,6,628.916,0
42.1249,18,17,702.187,0
42.1267,27,11,697.529,0
42.1373,14,19,675.945,0
42.3133,20,20,690.892,0
42.3423,23,8,689.115,0
42.3995,15,19,609.467,0
42.4227,19,17,671.445,0
42.5226,17,21,635.422,0
42.5836,28,5,731.931,0
42.5957,23,15,602.263,0
43.1109,20,17,647.089,0
43.1404,12,23,682.76,0
43.1744,26,18,683.229,0
43.3923,16,19,696.861,0
43.423,22,24,616.399,0
43.4619,28,22,724.924,0
43.5106,13,23,673.848,0
43.548,17,19,689.011,0
43.5671,23,24,633.353,0
43.632,30,6,689.973,0
43.6828,19,12,660.994,0
43.9415,14,23,687.254,0
43.9616,18,19,667.71,0
44.0129,27,18,695.164,0
44.081,32,10,606.17,0
44.1751,21,20,649.74,0
44.1792,21,17,666.807,0
44.5628,22,17,631.945,0
44.6306,19,19,638.379,0
44.6602,28,11,719.224,0
44.802,24,24,725.911,0
45.0743,26,14,651.092,0
45.1054,29,11,687.432,0
45.1762,33,10,718.86,0
45.3153,29,22,731.07,0
45.7821,23,16,612.265,0
45.8583,24,8,663.025,0
45.9016,23,9,668.41,0
45.975,31,6,688.303,0
46.0249,24,17,637.052,0
46.025,23,17,681.436,0
46.1418,20,19,659.408,0
46.1572,25,17,710.312,0
46.2275,21,19,666.827,0
46.2418,25,8,708.498,0
46.3377,24,16,611.364,0
46.3597,22,20,720.837,0
46.36,32,6,643.286,0
46.3764,26,8,670.591,0
46.5605,23,13,726.822,0
46.5768,23,20,677.422,0
46.6342,27,8,719.637,0
46.6949,22,19,645.121,0
46.7064,25,24,660.262,0
46.725,20,12,720.618,0
46.7374,24,15,634.384,0
46.9832,28,18,643.9,0
47.0519,27,14,726.827,0
47.0866,15,23,611.377,0
47.3398,33,6,715.199,0
47.4124,26,17,613.616,0
47.5803,24,9,614.372,0
47.8634,23,19,732.427,0
48.0599,26,24,669.063,0
48.0999,30,22,699.953,0
48.1179,27,24,662.914,0
48.1342,29,18,643.052,0
48.4279,27,17,621.895,0
48.4722,16,23,655.019,0
48.5174,21,12,647.944,0
48.5441,28,24,704.736,0
48.8191,24,13,716.768,0
48.9458,34,6,631.206,0
49.0562,33,7,719.057,0
49.1968,25,15,657.322,0
49.2755,34,7,719.714,0
49.3391,17,23,615.7,0
49.4207,22,12,642.339,0
49.525,31,22,653.28,0
49.7058,30,18,613.521,0
49.8078,29,24,645.042,0
49.815,18,21,607.012,0
50.0355,29,5,627.788,0
50.1847,23,12,696.358,0
50.2468,18,23,713.023,0
50.2863,32,22,623.807,0
50.5091,35,6,648.101,0
50.5202,24,12,633.905,0
50.528,30,11,618.725,0
50.5756,25,16,709.703,0
50.5843,28,8,638.752,0
50.7277,24,20,698.887,0
50.9708,30,24,615.01,0
51.0564,26,15,732.522,0
51.092,19,21,666.272,0
51.1788,25,20,628.521,0
51.2355,30,5,664.818,0
51.242,20,21,695.623,0
51.2437,25,9,651.549,0
51.2545,26,16,714.822,0
51.3359,29,8,723.16,0
51.5892,25,12,601.19,0
51.6278,27,16,716.253,0
51.6332,31,24,685.473,0
51.6408,26,12,637.274,0
51.75,33,22,707.896,0
52.0399,28,16,615.599,0
52.215,30,8,653.13,0
52.3127,28,14,717.007,0
52.3545,31,11,701.932,0
52.5449,27,12,691.587,0
52.5876,32,24,716.393,0
52.7696,29,16,703.316,0
52.8482,26,20,703.157,0
53.0873,32,11,647.047,0
53.099,27,20,702.299,0
53.4332,28,17,691.618,0
53.5364,21,21,682.214,0
53.6862,31,18,684.896,0
53.7295,30,16,675.142,0
53.84,19,23,647.722,0
53.8672,34,22,658.176,0
53.9129,33,11,626.716,0
54.3704,35,7,641.405,0
54.985,35,22,633.919,0
55.0062,34,11,698.834,0
55.0117,31,8,671.78,0
55.0119,26,9,727.265,0
55.1758,35,11,610.48,0
55.8334,24,19,643.941,0
55.8359,29,17,624.991,0
55.9382,21,23,638.39,0
55.9662,20,23,727.095,0
56.1266,36,6,691.576,0
56.2229,36,22,712.196,0
56.3001,27,9,717.9,0
56.3049,22,21,630.454,0
56.3084,34,10,675.462,0
56.3666,32,18,626.21,0
56.4917,36,7,681.109,0
56.5457,27,15,705.845,0
56.5807,28,9,730.328,0
56.592,25,19,702.827,0
56.6476,37,6,637.655,0
56.6488,29,9,679.1,0
56.7688,31,5,695.564,0
56.7963,23,21,732.343,0
56.8408,29,14,664.55,0
57.2251,33,24,716.944,0
57.2628,25,21,605.152,0
57.2763,24,21,663.765,0
57.4227,34,24,728.178,0
57.4258,36,11,708.656,0
57.5637,33,18,680.213,0
57.5947,26,21,665.44,0
57.6439,30,9,649.916,0
57.7693,25,13,719.359,0
57.7751,35,10,686.142,0
57.838,30,14,649.046,0
57.8495,32,8,690.893,0
58.0997,37,11,648.49,0
58.136,31,14,619.565,0
58.2288,35,24,686.394,0
58.6955,28,12,645.198,0
58.7142,38,11,732.936,0
58.7543,29,12,673.176,0
58.762,27,21,627.66,0
59.1367,28,21,698.997,0
59.2207,22,23,718.68,0
59.3028,31,9,663.138,0
59.3201,30,12,692.309,0
59.3301,30,17,689.233,0
59.3972,32,9,673.82,0
59.5719,31,16,696.46,0
59.6391,36,10,702.811,0
59.6945,28,15,640.81,0
59.754,32,16,660.011,0
59.9277,26,13,641.357,0
60.0625,28,20,600.359,0
60.1733,29,21,671.864,0
60.2235,33,16,694.187,0
60.3435,34,18,654.849,0
60.3638,36,24,619.299,0
60.4163,37,7,684.037,0
60.4265,29,15,667.338,0
60.6204,34,16,724.203,0
60.6403,31,17,706.706,0
60.7357,30,21,708.395,0
60.9949,23,23,651.098,0
61.2056,26,19,683.534,0
61.3243,32,17,691.779,0
61.344,31,12,616.164,0
61.369,24,23,619.157,0
61.3938,35,16,660.006,0
61.8667,33,9,716.094,0
62.098,35,18,696.69,0
62.1392,32,5,687.594,0
62.2863,33,8,697.235,0
62.3645,30,15,696.119,0
62.5589,27,13,643.085,0
62.6205,36,16,729.985,0
62.7221,31,15,634.89,0
62.8933,29,20,653.304,0
62.962,25,23,626.193,0
63.0676,32,14,699.449,0
63.0786,28,13,636.157,0
63.1272,39,11,650.94,0
63.1431,34,9,721.09,0
63.231,32,15,676.737,0
63.2412,37,22,640.206,0
63.5534,40,11,713.771,0
63.6783,34,8,719.906,0
63.6843,33,5,706.606,0
63.6907,38,7,628.481,0
63.8139,37,16,610.393,0
63.8716,33,14,609.895,0
64.0528,37,10,678.132,0
64.0618,38,22,614.652,0
64.2315,36,18,685.726,0
64.2551,35,9,648.107,0
64.3609,38,6,635.712,0
64.3845,33,17,656.657,0
64.5387,34,17,696.326,0
64.6735,34,14,616.42,0
64.7158,36,9,623.407,0
64.8815,38,16,700.391,0
64.8991,37,24,725.665,0
64.964,35,8,605.024,0
65.2481,39,6,645.048,0
65.297,35,14,603.468,0
65.3258,37,18,728.075,0
65.4204,30,20,712.398,0
65.4727,27,19,607.277,0
65.5681,39,16,638.652,0
65.5716,31,21,615.496,0
65.6772,38,24,676.48,0
65.6872,36,8,695.1,0
65.7264,40,6,640.35,0
65.7363,35,17,691.453,0
65.74,40,16,646.362,0
65.7811,34,5,700.178,0
65.9056,37,8,609.462,0
66.0346,41,11,719.341,0
66.0443,29,13,671.589,0
66.0903,39,24,716.515,0
66.2227,36,14,647.535,0
66.2359,39,22,600.865,0
66.4898,42,11,666.093,0
66.6853,38,18,678.556,0
66.7099,41,16,626.781,0
66.8003,43,11,602.422,0
66.8018,38,10,632.233,0
66.8156,36,17,647.892,0
66.861,38,8,633.234,0
67.1576,41,6,676.07,0
67.3675,40,22,722.464,0
67.4785,28,19,630.901,0
67.4791,30,13,705.146,0
67.6522,29,19,664.569,0
67.854,30,19,674.01,0
67.8542,37,14,715.861,0
68.0023,37,9,617.65,0
68.1383,31,19,705.675,0
68.1855,38,14,642.99,0
68.2392,39,10,601.24,0
68.2401,41,22,614.236,0
68.3421,42,22,663.603,0
68.3577,43,22,622.101,0
68.4589,40,10,695.091,0
68.5299,32,12,713.736,0
68.599,31,13,705.727,0
68.6669,33,12,721.23,0
68.7282,35,5,719.442,0
68.7395,37,17,710.088,0
68.7725,42,16,689.599,0
68.8396,26,23,672.026,0
68.8614,32,19,667.186,0
68.9476,40,24,638.534,0
68.9734,41,10,668.682,0
69.0075,27,23,610.118,0
69.0347,33,19,654.666,0
69.0739,33,15,711.762,0
69.1205,39,8,630.689,0
69.2073,36,5,705.529,0
69.2975,34,12,631.497,0
69.4216,37,5,671.805,0
69.4401,35,12,628.071,0
69.9175,31,20,685.433,0
70.0468,44,11,666.85,0
70.1027,38,17,728.145,0
70.1823,41,24,720.364,0
70.3169,44,22,627.463,0
70.4127,45,11,701.599,0
70.4344,36,12,668.196,0
70.6224,42,6,603.631,0
70.6705,45,22,663.669,0
70.7098,32,21,620.972,0
70.8654,43,16,602.009,0
70.9048,33,21,717.605,0
71.4747,44,16,626.873,0
71.7482,32,20,645.666,0
71.8059,46,22,680.305,0
72.0376,38,5,636.136,0
72.1535,32,13,648.746,0
72.7263,34,15,685.799,0
72.7331,34,19,699.605,0
72.8368,37,12,732.575,0
73.0222,40,8,707.183,0
73.0662,33,13,636.767,0
73.0769,39,14,681.113,0
73.1351,40,14,733.057,0
73.2744,38,9,671.119,0
73.3677,45,16,655.242,0
73.6217,34,13,726.166,0
73.8886,46,16,663.385,0
74.0767,39,5,693.418,0
74.1694,39,18,629.217,0
74.4882,42,24,605.901,0
74.5125,35,13,660.693,0
74.5328,41,14,684.434,0
74.6386,42,14,684.257,0
74.7327,28,23,601.98,0
74.7939,46,11,675.62,0
75.0267,35,15,622.259,0
75.105,42,10,646.87,0
75.1405,40,18,691.833,0
75.2202,36,13,683.458,0
75.2334,33,20,646.663,0
75.3569,34,20,607.175,0
75.4912,43,14,609.964,0
75.7264,29,23,673.238,0
75.7632,44,14,624.177,0
75.7917,36,15,679.95,0
75.7986,34,21,670.102,0
76.153,43,24,665.617,0
76.2341,30,23,725.716,0
76.2496,37,13,654.201,0
76.2817,39,7,612.924,0
76.4554,43,6,664.556,0
76.5352,45,14,622.274,0
76.5742,44,6,634.035,0
76.8648,38,12,673.962,0
77.0046,47,22,706.278,0
77.2401,47,16,676.958,0
77.4581,35,19,643.602,0
77.7042,35,20,716.348,0
77.8597,39,12,638.735,0
77.9056,41,8,610.265,0
77.9505,36,20,610.918,0
77.98,40,5,610.924,0
78.2235,47,11,627.369,0
78.321,36,19,705.917,0
78.3397,48,22,615.037,0
78.6152,38,13,615.911,0
78.7063,40,7,666.991,0
78.8377,40,12,616.547,0
78.9618,31,23,607.277,0
79.0938,41,12,723.402,0
79.1186,44,24,600.846,0
79.1754,48,16,630.855,0
79.2615,35,21,731.108,0
79.2656,41,18,606.508,0
79.3918,42,12,609.642,0
79.3994,39,17,607.391,0
79.4644,37,15,613.699,0
79.9048,37,19,677.769,0
80.1243,45,24,723.021,0
80.1518,43,12,682.42,0
80.2017,49,22,703.446,0
80.2039,50,22,619.84,0
80.2204,42,8,629.817,0
80.3555,42,18,684.15,0
80.5251,37,20,665.816,0
80.6696,41,7,723.076,0
80.7484,38,20,611.746,0
80.7778,36,21,680.704,0
80.7838,45,6,704.818,0
80.8118,32,23,624.193,0
80.9899,40,17,706.102,0
81.3146,43,18,659.409,0
81.4959,46,14,609.686,0
81.5275,44,12,720.206,0
81.6803,38,15,711.268,0
81.6908,39,13,649.947,0
81.7202,49,16,647.922,0
81.8718,47,14,608.897,0
81.8838,33,23,658.465,0
81.8949,43,8,680.401,0
81.9225,37,21,682.346,0
82.1295,42,7,661.514,0
82.1849,45,12,647.938,0
82.1992,48,11,644.439,0
82.2708,44,18,676.359,0
82.3265,39,15,679.721,0
82.3721,34,23,712.164,0
82.435,46,6,637.136,0
82.5146,40,13,668.85,0
82.6548,39,9,699.477,0
82.6788,39,21,633.333,0
82.7039,38,21,679.571,0
82.7404,38,19,730.137,0
82.7714,46,12,624.209,0
82.933,47,6,613.712,0
83.1081,41,5,610.161,0
83.152,41,17,630.664,0
83.2392,43,10,679.065,0
83.2875,46,24,639.302,0
83.6226,51,22,615.564,0
83.7094,35,23,664.529,0
83.8664,48,14,729.216,0
83.9097,44,8,729.826,0
84.1764,52,22,672.06,0
84.2914,48,6,702.481,0
84.3147,41,13,638.844,0
84.4073,40,21,642.298,0
84.7445,47,24,670.85,0
84.8298,42,17,728.284,0
85.023,43,7,713.067,0
85.092,50,16,710.592,0
85.1509,49,6,613.553,0
85.1623,36,23,664.535,0
85.1773,42,13,706.505,0
85.2886,43,17,672.83,0
85.4068,42,5,657.683,0
85.7149,44,10,673.142,0
85.7568,40,15,629.509,0
85.826,43,13,661.695,0
85.854,45,10,709.305,0
85.97,50,6,687.254,0
86.1485,49,14,678.376,0
86.3583,39,20,652.879,0
86.5817,40,20,655.096,0
86.6646,41,15,660.355,0
86.9245,46,10,647.898,0
86.9907,44,7,720.89,0
87.0332,37,23,619.469,0
87.1366,47,12,625.033,0
87.1656,51,6,681.123,0
87.4226,50,14,644.597,0
87.4721,47,10,708.401,0
87.4815,52,6,615.185,0
87.5006,40,9,696.365,0
87.5682,42,15,622.31,0
87.8902,44,17,618.022,0
87.9144,41,21,643.223,0
87.9203,53,22,654.308,0
88.0535,45,8,698.89,0
88.1761,43,5,717.904,0
88.1836,41,20,605.869,0
88.3131,44,5,712.854,0
88.8309,46,8,642.871,0
88.8755,42,21,607.839,0
88.9134,39,19,625.732,0
88.937,43,15,681.694,0
89.0574,54,22,628.9,0
89.1505,51,14,693.318,0
89.2131,53,6,725.056,0
89.2517,45,5,703.401,0
89.2807,46,5,660.49,0
89.3245,55,22,614.012,0
89.3976,51,16,612.949,0
89.4158,45,7,630.085,0
89.8411,49,24,659.864,0
89.8426,48,24,732.033,0
90.1686,50,24,607.795,0
90.1755,41,9,729.136,0
90.249,47,5,681.737,0
90.2505,42,20,627.486,0
90.2552,49,11,667.501,0
90.3804,40,19,679.994,0
90.6026,48,5,631.396,0
90.6934,56,22,613.377,0
90.7114,47,8,628.907,0
90.7846,52,14,658.914,0
90.8537,41,19,680.885,0
90.9052,48,12,606.251,0
91.2418,45,17,671.331,0
91.3961,46,7,625.975,0
91.5777,44,13,723.282,0
91.6153,49,5,624.802,0
91.8156,47,7,684.568,0
91.9159,49,12,627.466,0
91.9287,43,21,704.146,0
92.0208,43,20,719.804,0
92.0532,57,22,647.66,0
92.1259,48,8,615.21,0
