time_s,ue_id,tx_bytes,rx_bytes
34.1121,13,15200000,0
34.1433,12,12000000,0
34.1835,18,15200000,0
34.2583,10,20000000,0
34.5375,9,14400000,0
34.5855,23,8000000,0
34.6611,8,16800000,0
34.7335,12,12800000,0
34.7479,6,18400000,0
34.7569,14,17600000,0
34.8104,19,10400000,0
34.8879,12,12800000,0
34.9097,22,15200000,0
35.0744,5,20800000,0
35.1633,21,9600000,0
35.1753,22,15200000,0
35.2312,5,20800000,0
35.2852,5,20800000,0
35.2868,18,16000000,0
35.481,22,15200000,0
35.5769,6,20800000,0
35.582,9,16000000,0
35.6054,16,14400000,0
35.6685,6,20800000,0
35.6788,14,19200000,0
35.7322,15,16800000,0
35.7552,20,13600000,0
35.7663,6,20800000,0
35.8405,9,16000000,0
35.9842,14,19200000,0
36.2442,21,10400000,0
36.2912,7,24000000,0
36.3456,7,24000000,0
36.712,16,15200000,0
36.851,18,16800000,0
36.8938,14,20000000,0
37.0102,10,21600000,0
37.1707,10,21600000,0
37.2096,22,17600000,0
37.2901,13,16800000,0
37.3254,22,17600000,0
37.3672,11,19200000,0
37.637,6,22400000,0
37.6936,16,16000000,0
37.7755,13,17600000,0
37.7923,22,19200000,0
37.9871,13,17600000,0
38.0166,21,11200000,0
38.0545,6,22400000,0
38.1122,23,8800000,0
38.141,10,23200000,0
38.2195,22,19200000,0
38.2242,10,23200000,0
38.2667,15,17600000,0
38.3128,22,19200000,0
38.5381,24,15200000,0
38.5478,11,20000000,0
38.5717,12,13600000,0
38.6422,18,18400000,0
39.081,18,18400000,0
39.1207,20,14400000,0
39.3871,16,16800000,0
39.403,7,24800000,0
39.6055,17,13600000,0
39.8214,22,21600000,0
39.8935,24,16800000,0
40.1839,7,25600000,0
40.2124,22,21600000,0
40.2293,22,21600000,0
40.3788,24,16800000,0
40.7812,16,17600000,0
40.7929,10,24800000,0
40.9898,10,24800000,0
41.1189,12,14400000,0
41.1384,9,17600000,0
41.2042,21,12800000,0
41.3193,21,12800000,0
41.3727,11,20800000,0
41.4189,9,17600000,0
41.4636,8,17600000,0
41.5733,18,20000000,0
41.619,5,21600000,0
41.7622,20,16000000,0
42.0125,18,20000000,0
42.0471,6,23200000,0
42.1249,17,15200000,0
42.1267,11,21600000,0
42.1373,19,12000000,0
42.3133,20,16000000,0
42.3423,8,18400000,0
42.3995,19,12000000,0
42.4227,17,15200000,0
42.5226,21,13600000,0
42.5836,5,22400000,0
42.5957,15,18400000,0
43.1109,17,16000000,0
43.1404,23,10400000,0
43.1744,18,20800000,0
43.3923,19,14400000,0
43.423,24,18400000,0
43.4619,22,22400000,0
43.5106,23,11200000,0
43.548,19,14400000,0
43.5671,24,18400000,0
43.632,6,24000000,0
43.6828,12,15200000,0
43.9415,23,11200000,0
43.9616,19,14400000,0
44.0129,18,21600000,0
44.081,10,25600000,0
44.1751,20,16800000,0
44.1792,17,17600000,0
44.5628,17,17600000,0
44.6306,19,15200000,0
44.6602,11,23200000,0
44.802,24,19200000,0
45.0743,14,20800000,0
45.1054,11,23200000,0
45.1762,10,26400000,0
45.3153,22,23200000,0
45.7821,16,19200000,0
45.8583,8,20800000,0
45.9016,9,18400000,0
45.975,6,25600000,0
46.0249,17,20000000,0
46.025,17,20000000,0
46.1418,19,17600000,0
46.1572,17,20000000,0
46.2275,19,17600000,0
46.2418,8,21600000,0
46.3377,16,19200000,0
46.3597,20,18400000,0
46.36,6,25600000,0
46.3764,8,21600000,0
46.5605,13,18400000,0
46.5768,20,18400000,0
46.6342,8,21600000,0
46.6949,19,17600000,0
46.7064,24,20000000,0
46.725,12,16000000,0
46.7374,15,19200000,0
46.9832,18,22400000,0
47.0519,14,21600000,0
47.0866,23,12000000,0
47.3398,6,26400000,0
47.4124,17,20800000,0
47.5803,9,19200000,0
47.8634,19,18400000,0
48.0599,24,22400000,0
48.0999,22,24000000,0
48.1179,24,22400000,0
48.1342,18,23200000,0
48.4279,17,21600000,0
48.4722,23,12800000,0
48.5174,12,16800000,0
48.5441,24,22400000,0
48.8191,13,19200000,0
48.9458,6,27200000,0
49.0562,7,27200000,0
49.1968,15,20000000,0
49.2755,7,27200000,0
49.3391,23,13600000,0
49.4207,12,17600000,0
49.525,22,24800000,0
49.7058,18,24000000,0
49.8078,24,23200000,0
49.815,21,14400000,0
50.0355,5,23200000,0
50.1847,12,19200000,0
50.2468,23,14400000,0
50.2863,22,25600000,0
50.5091,6,28000000,0
50.5202,12,19200000,0
50.528,11,24000000,0
50.5756,16,20800000,0
50.5843,8,22400000,0
50.7277,20,20000000,0
50.9708,24,24800000,0
51.0564,15,20800000,0
51.092,21,16000000,0
51.1788,20,20000000,0
51.2355,5,24000000,0
51.242,21,16000000,0
51.2437,9,20000000,0
51.2545,16,21600000,0
51.3359,8,23200000,0
51.5892,12,20800000,0
51.6278,16,22400000,0
51.6332,24,24800000,0
51.6408,12,20800000,0
51.75,22,26400000,0
52.0399,16,22400000,0
52.215,8,24000000,0
52.3127,14,22400000,0
52.3545,11,24800000,0
52.5449,12,21600000,0
52.5876,24,25600000,0
52.7696,16,23200000,0
52.8482,20,21600000,0
53.0873,11,25600000,0
53.099,20,21600000,0
