time_s,ue_id,tx_bytes,rx_bytes
21.4907,13,8000000,0
21.7048,22,8000000,0
21.7353,11,10400000,0
21.8239,18,12800000,0
21.8439,19,12000000,0
21.8964,11,10400000,0
22.3589,21,15200000,0
22.4722,15,11200000,0
22.6104,6,7200000,0
22.669,21,15200000,0
22.6869,10,10400000,0
22.7276,14,12800000,0
22.7736,17,10400000,0
22.8482,17,10400000,0
22.858,7,15200000,0
22.8965,12,4800000,0
22.9835,13,9600000,0
23.0858,10,10400000,0
23.1326,16,10400000,0
23.323,14,13600000,0
23.4422,22,8800000,0
23.593,13,9600000,0
23.6123,14,13600000,0
23.9516,5,10400000,0
24.0372,10,11200000,0
24.0533,6,8000000,0
24.1307,19,12800000,0
24.1508,15,12000000,0
24.3597,16,11200000,0
24.8635,15,13600000,0
24.8882,6,8800000,0
25.0692,7,16000000,0
25.1811,16,12000000,0
25.2863,18,14400000,0
25.3279,12,5600000,0
25.3529,5,11200000,0
25.4298,15,13600000,0
25.477,14,14400000,0
25.6312,18,14400000,0
25.6704,13,10400000,0
26.0089,7,16800000,0
26.1295,19,13600000,0
26.3751,15,14400000,0
26.4846,14,15200000,0
26.7354,16,12800000,0
27.207,24,9600000,0
27.3243,17,12800000,0
27.4456,14,16000000,0
27.5036,19,16000000,0
27.582,6,10400000,0
27.6574,17,13600000,0
27.8298,19,16000000,0
27.8433,19,16000000,0
27.9427,24,10400000,0
27.9718,20,7200000,0
28.0005,5,12000000,0
28.0029,17,13600000,0
28.0283,17,13600000,0
28.2097,6,12000000,0
28.2853,7,17600000,0
28.4077,6,12000000,0
28.613,6,12000000,0
28.6131,22,11200000,0
28.6584,24,12000000,0
28.9676,20,8000000,0
29.0024,15,15200000,0
29.0535,22,12000000,0
29.0746,24,12000000,0
29.1797,22,12000000,0
29.4935,16,13600000,0
29.5669,12,6400000,0
29.5701,17,15200000,0
29.672,20,9600000,0
29.7202,20,9600000,0
29.7207,22,12000000,0
29.8194,21,16000000,0
29.9332,23,8800000,0
29.996,9,11200000,0
30.0726,17,15200000,0
30.164,18,15200000,0
30.2806,9,12000000,0
30.4256,11,12000000,0
30.4802,11,12000000,0
30.5979,5,13600000,0
30.6224,20,10400000,0
30.6528,22,12800000,0
30.7369,9,12800000,0
30.8735,7,18400000,0
30.8779,12,8000000,0
30.8861,5,13600000,0
30.9268,6,12800000,0
31.0335,10,12000000,0
31.0647,12,8000000,0
31.1638,21,16800000,0
31.371,9,12800000,0
31.3932,23,9600000,0
31.5752,22,14400000,0
31.6699,6,13600000,0
31.762,5,14400000,0
31.841,19,16800000,0
32.0677,15,16800000,0
32.1606,22,15200000,0
32.3106,15,17600000,0
32.3384,23,10400000,0
32.5618,22,15200000,0
32.7162,15,19200000,0
32.7255,21,17600000,0
32.83,6,15200000,0
32.8824,24,12800000,0
32.9645,20,11200000,0
32.9751,9,13600000,0
33.0717,6,15200000,0
33.0786,15,20000000,0
33.1313,17,16000000,0
33.1493,15,20000000,0
33.282,14,17600000,0
33.3158,11,13600000,0
33.3175,11,13600000,0
33.3368,14,17600000,0
33.4713,15,20000000,0
33.7003,10,12800000,0
33.7038,5,15200000,0
33.7623,23,11200000,0
33.7675,24,14400000,0
33.798,20,12800000,0
33.8635,6,16000000,0
33.9972,21,18400000,0
34.0198,20,13600000,0
34.0319,24,14400000,0
34.1262,9,15200000,0
34.1681,13,11200000,0
34.1807,9,15200000,0
34.3489,5,16000000,0
34.4283,15,20800000,0
34.5647,7,19200000,0
34.6172,20,14400000,0
34.6935,8,12800000,0
34.8574,24,15200000,0
34.9304,18,16000000,0
34.983,11,14400000,0
35.1859,8,12800000,0
35.216,22,16000000,0
35.2721,20,15200000,0
35.2836,20,15200000,0
35.3177,16,14400000,0
35.4968,5,16800000,0
35.5487,12,8800000,0
35.913,22,16800000,0
35.9771,14,18400000,0
36.1497,18,18400000,0
36.2993,23,12000000,0
36.3085,9,16000000,0
36.4291,18,20000000,0
36.4777,15,21600000,0
36.617,18,20000000,0
36.6364,10,13600000,0
36.728,7,20000000,0
36.7641,14,19200000,0
36.7957,18,20000000,0
36.8043,11,15200000,0
36.8135,18,20000000,0
36.8657,6,16800000,0
37.0165,22,18400000,0
37.0615,24,16000000,0
37.0934,20,16000000,0
37.0948,22,18400000,0
37.1438,19,17600000,0
37.2913,12,9600000,0
37.3098,15,22400000,0
37.3532,21,20000000,0
37.3533,13,12000000,0
37.5853,17,18400000,0
37.6043,21,20000000,0
37.6574,5,18400000,0
37.6603,17,18400000,0
37.7949,17,19200000,0
38.0037,6,17600000,0
38.0465,7,20800000,0
38.0956,9,17600000,0
38.1166,18,20800000,0
38.2086,22,19200000,0
38.3163,5,19200000,0
38.3621,17,19200000,0
38.4279,5,19200000,0
38.4743,13,12800000,0
38.5137,11,16800000,0
38.5355,23,12800000,0
38.6239,11,16800000,0
38.699,19,18400000,0
38.7362,9,17600000,0
38.9165,15,24800000,0
38.9565,18,22400000,0
39.1876,18,22400000,0
39.4312,15,24800000,0
39.4518,15,24800000,0
39.6718,11,17600000,0
40.1174,16,15200000,0
40.1643,10,14400000,0
40.2713,20,16800000,0
40.3871,22,20000000,0
40.4552,15,25600000,0
40.796,21,20800000,0
40.8378,19,19200000,0
40.9185,14,20000000,0
41.0547,11,18400000,0
41.064,10,16000000,0
41.2368,15,26400000,0
41.5814,20,18400000,0
41.6814,10,16000000,0
41.7478,8,13600000,0
41.8037,7,21600000,0
41.8813,18,23200000,0
42.0411,20,18400000,0
42.0681,17,20000000,0
42.1539,5,21600000,0
42.2973,16,16800000,0
42.3035,22,20800000,0
42.3769,5,21600000,0
42.6595,13,15200000,0
42.6777,7,22400000,0
42.761,5,21600000,0
42.8546,13,15200000,0
42.9007,16,16800000,0
42.908,15,27200000,0
42.9675,19,20800000,0
42.9865,13,15200000,0
43.0988,24,16800000,0
43.1605,8,14400000,0
43.2952,17,20800000,0
43.3795,18,24800000,0
43.4329,19,20800000,0
43.5937,12,11200000,0
43.6367,18,24800000,0
43.8698,10,16800000,0
43.9167,12,11200000,0
44.0309,24,18400000,0
44.1345,24,18400000,0
44.3414,14,21600000,0
44.5362,15,28800000,0
44.6462,14,21600000,0
44.7096,21,21600000,0
44.7333,16,18400000,0
44.7928,5,22400000,0
44.8208,16,18400000,0
44.9517,13,16800000,0
44.9841,15,28800000,0
45.1261,13,16800000,0
45.2108,6,19200000,0
45.3042,24,20000000,0
45.3548,9,19200000,0
45.696,8,15200000,0
45.6989,6,19200000,0
45.8033,9,20000000,0
45.9002,24,20800000,0
46.0364,17,22400000,0
46.0832,13,17600000,0
46.1258,23,13600000,0
46.2131,17,22400000,0
46.2691,21,23200000,0
46.439,21,23200000,0
46.458,24,21600000,0
46.4592,7,23200000,0
46.4761,9,20000000,0
46.5183,16,19200000,0
46.8406,19,22400000,0
46.9988,6,20800000,0
47.029,10,17600000,0
47.0827,24,21600000,0
47.2444,6,20800000,0
47.4051,19,22400000,0
47.6271,21,24000000,0
47.8003,7,24000000,0
47.8042,24,23200000,0
47.9375,24,23200000,0
48.1803,14,22400000,0
48.2306,8,16800000,0
48.3951,17,23200000,0
48.5461,7,24800000,0
48.8823,8,17600000,0
49.0924,13,19200000,0
49.1535,22,21600000,0
49.2958,10,18400000,0
49.4135,8,17600000,0
49.5414,15,29600000,0
49.713,13,20000000,0
49.7613,24,24000000,0
49.8499,22,22400000,0
49.9174,20,20000000,0
49.9313,16,20000000,0
49.9719,20,20000000,0
50.2467,18,25600000,0
50.2695,13,20000000,0
50.475,5,23200000,0
50.59,24,24800000,0
50.6591,8,18400000,0
50.6719,6,21600000,0
50.8824,7,25600000,0
51.1249,18,27200000,0
51.245,18,27200000,0
51.2647,10,19200000,0
51.381,22,24000000,0
51.4034,16,21600000,0
51.4438,13,21600000,0
51.5068,20,20800000,0
51.5265,16,21600000,0
51.5755,6,22400000,0
51.7627,22,24000000,0
51.8072,13,21600000,0
51.8228,24,25600000,0
52.3043,9,20800000,0
52.3119,7,26400000,0
52.329,10,20800000,0
52.649,6,23200000,0
52.6888,24,26400000,0
52.755,14,23200000,0
52.8336,16,23200000,0
52.8395,10,21600000,0
52.974,22,24800000,0
53.0362,23,14400000,0
53.0433,12,13600000,0
53.0782,13,22400000,0
53.1703,16,23200000,0
53.1715,15,30400000,0
53.1974,12,13600000,0
53.2254,7,28000000,0
53.2374,7,28000000,0
53.3838,10,21600000,0
53.4503,19,23200000,0
53.643,6,24000000,0
53.6611,12,15200000,0
53.7189,20,21600000,0
53.9769,22,25600000,0
54.2004,12,15200000,0
54.2046,12,15200000,0
54.2457,14,24000000,0
54.6134,16,24800000,0
54.7938,18,28800000,0
54.8346,5,24000000,0
54.928,16,24800000,0
55.0075,17,25600000,0
55.0161,10,22400000,0
55.0281,9,21600000,0
55.0813,18,28800000,0
55.326,14,25600000,0
55.3485,13,24000000,0
55.4212,14,25600000,0
55.4436,17,26400000,0
55.4726,12,16000000,0
55.5257,17,26400000,0
55.5281,11,20000000,0
55.5374,13,24000000,0
55.7378,8,19200000,0
55.7571,22,27200000,0
55.7961,22,27200000,0
55.8531,17,26400000,0
56.1945,11,20800000,0
56.2026,18,29600000,0
56.3044,10,23200000,0
56.3188,7,28800000,0
56.3589,12,16800000,0
56.4292,11,20800000,0
56.4405,9,23200000,0
56.4702,8,20800000,0
56.5175,5,24800000,0
56.7668,9,23200000,0
56.7879,8,20800000,0
56.8892,22,28000000,0
56.9083,13,26400000,0
57.1649,13,26400000,0
57.342,19,24000000,0
57.3576,7,30400000,0
57.372,15,31200000,0
57.4712,13,26400000,0
57.486,7,30400000,0
57.6629,16,27200000,0
58.0847,16,27200000,0
58.128,16,27200000,0
58.1535,19,25600000,0
58.1723,22,28800000,0
58.175,13,27200000,0
58.1812,19,25600000,0
58.1852,8,21600000,0
58.1958,20,22400000,0
58.4527,14,26400000,0
58.4747,21,24800000,0
58.5551,5,25600000,0
58.7421,12,17600000,0
59.2295,18,30400000,0
59.2349,21,25600000,0
59.3998,19,26400000,0
59.4412,22,29600000,0
